# Gene name	miRNA ID
ENSMUSG00000000838	mmu-miR-298-5p
ENSMUSG00000000838	mmu-miR-363-3p
ENSMUSG00000000838	mmu-miR-409-3p
ENSMUSG00000000838	mmu-miR-429-3p
ENSMUSG00000000838	mmu-miR-450b-5p
ENSMUSG00000000838	mmu-miR-466n-3p
ENSMUSG00000000838	mmu-miR-532-3p
ENSMUSG00000000838	mmu-miR-532-5p
ENSMUSG00000000838	mmu-miR-669f-3p
ENSMUSG00000000838	mmu-miR-677-5p
ENSMUSG00000000861	mmu-miR-107-3p
ENSMUSG00000000861	mmu-miR-152-3p
ENSMUSG00000000861	mmu-miR-19b-1-5p
ENSMUSG00000000861	mmu-miR-20a-3p
ENSMUSG00000000861	mmu-miR-26a-5p
ENSMUSG00000000861	mmu-miR-3074-1-3p
ENSMUSG00000000861	mmu-miR-342-3p
ENSMUSG00000000861	mmu-miR-34b-3p
ENSMUSG00000000861	mmu-miR-362-5p
ENSMUSG00000000861	mmu-miR-363-3p
ENSMUSG00000000861	mmu-miR-381-3p
ENSMUSG00000000861	mmu-miR-409-3p
ENSMUSG00000000861	mmu-miR-410-3p
ENSMUSG00000000861	mmu-miR-466d-5p
ENSMUSG00000000861	mmu-miR-466n-3p
ENSMUSG00000000861	mmu-miR-542-3p
ENSMUSG00000000876	mmu-miR-151-3p
ENSMUSG00000000876	mmu-miR-669f-3p
ENSMUSG00000000884	mmu-miR-1187
ENSMUSG00000000884	mmu-miR-1198-5p
ENSMUSG00000000884	mmu-miR-151-3p
ENSMUSG00000000884	mmu-miR-188-3p
ENSMUSG00000000884	mmu-miR-188-5p
ENSMUSG00000000884	mmu-miR-34b-5p
ENSMUSG00000000884	mmu-miR-450b-5p
ENSMUSG00000000884	mmu-miR-466d-5p
ENSMUSG00000000884	mmu-miR-532-3p
ENSMUSG00000000884	mmu-miR-542-3p
ENSMUSG00000000884	mmu-miR-542-5p
ENSMUSG00000000903	mmu-miR-342-3p
ENSMUSG00000000915	mmu-miR-188-3p
ENSMUSG00000000915	mmu-miR-188-5p
ENSMUSG00000000915	mmu-miR-342-3p
ENSMUSG00000000915	mmu-miR-362-5p
ENSMUSG00000000915	mmu-miR-532-3p
ENSMUSG00000000915	mmu-miR-542-5p
ENSMUSG00000000916	mmu-miR-151-3p
ENSMUSG00000000916	mmu-miR-188-3p
ENSMUSG00000000916	mmu-miR-32-3p
ENSMUSG00000000916	mmu-miR-466d-5p
ENSMUSG00000000916	mmu-miR-466k
ENSMUSG00000000916	mmu-miR-532-5p
ENSMUSG00000000976	mmu-miR-1187
ENSMUSG00000000976	mmu-miR-151-3p
ENSMUSG00000000976	mmu-miR-188-3p
ENSMUSG00000000976	mmu-miR-342-3p
ENSMUSG00000000976	mmu-miR-34b-3p
ENSMUSG00000000976	mmu-miR-450b-5p
ENSMUSG00000000976	mmu-miR-466d-5p
ENSMUSG00000000976	mmu-miR-466k
ENSMUSG00000000976	mmu-miR-532-5p
ENSMUSG00000000976	mmu-miR-542-3p
ENSMUSG00000001016	mmu-miR-188-3p
ENSMUSG00000001016	mmu-miR-188-5p
ENSMUSG00000001016	mmu-miR-450b-5p
ENSMUSG00000001016	mmu-miR-501-5p
ENSMUSG00000001017	mmu-miR-151-3p
ENSMUSG00000001017	mmu-miR-188-3p
ENSMUSG00000001017	mmu-miR-362-3p
ENSMUSG00000001017	mmu-miR-501-3p
ENSMUSG00000001017	mmu-miR-542-3p
ENSMUSG00000001027	mmu-miR-450b-5p
ENSMUSG00000001027	mmu-miR-542-3p
ENSMUSG00000001034	mmu-miR-362-5p
ENSMUSG00000001039	mmu-miR-466d-5p
ENSMUSG00000001039	mmu-miR-466k
ENSMUSG00000001039	mmu-miR-542-3p
ENSMUSG00000001052	mmu-miR-409-3p
ENSMUSG00000001052	mmu-miR-542-3p
ENSMUSG00000001053	mmu-miR-362-5p
ENSMUSG00000001054	mmu-miR-450b-5p
ENSMUSG00000001056	mmu-miR-1187
ENSMUSG00000001056	mmu-miR-188-3p
ENSMUSG00000001056	mmu-miR-3091-3p
ENSMUSG00000001056	mmu-miR-342-3p
ENSMUSG00000001056	mmu-miR-34b-3p
ENSMUSG00000001056	mmu-miR-466d-5p
ENSMUSG00000001056	mmu-miR-542-5p
ENSMUSG00000001062	mmu-miR-342-3p
ENSMUSG00000001062	mmu-miR-34b-5p
ENSMUSG00000001065	mmu-miR-1187
ENSMUSG00000001065	mmu-miR-151-3p
ENSMUSG00000001065	mmu-miR-3091-3p
