Protein	Ratio_0	Ratio_2	Ratio_6	Ratio_12	Ratio_18	Ratio_24
Cisd2	-0.144580	3.861431	1.981333	2.630474	0.064510	2.482315
Cit	1.860493	1.221580	1.113210	-1.393436	1.996611	-1.147971
Ckap4	0.984932	5.483652	-0.395333	-6.340384	0.064510	-1.147971
Ckap5	-1.429835	-0.954207	-0.856018	-1.102498	0.108172	0.043770
Clcc1	2.025877	1.221580	1.113210	0.672080	0.722256	-1.147971
Clic1	-0.982108	0.760254	-0.060392	0.566406	-1.013141	-0.826219
Clic4	-1.220863	0.711374	-0.483541	-1.366891	-0.848026	-0.483516
Clint1	-0.308450	1.221580	1.113210	-2.610550	-3.199522	-1.147971
Clns1a	-1.709720	0.448550	0.270421	1.125401	-2.308281	-1.906108
Clpp	0.984932	1.532197	-1.107327	0.672080	0.064510	-1.962088
Clptm1	-1.511983	6.302829	0.652750	-2.357877	-0.657566	-1.147971
Clpx	2.191157	1.443156	-0.959889	0.672080	0.461863	-0.689798
Clta	-1.538948	6.604803	-5.879970	-3.993314	0.241498	-1.147971
Cltc	-1.544388	0.642776	-0.455367	-0.143760	-0.718383	-1.214268
Cmc1	-0.897690	4.088257	4.122687	-0.794184	-1.031522	-1.147971
Cmpk1	-2.922312	0.515311	-0.757300	-0.601734	0.827943	-0.264597
Cmss1	-1.376662	5.161182	1.113210	-0.429384	-3.540482	-1.147971
